City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
114,Coruripe,BR,2022-12-11 22:27:52,-10.1256,-36.1756,77.97,83,40,10.22
115,San Cristobal,VE,2022-12-11 22:27:53,7.7669,-72.225,69.98,80,70,2.28
116,Hithadhoo,MV,2022-12-11 22:27:53,-0.6,73.0833,81.66,76,100,15.55
117,Buritizeiro,BR,2022-12-11 22:27:53,-17.3511,-44.9622,77.25,68,100,2.3
118,Tweed,CA,2022-12-11 22:27:54,44.4751,-77.3162,24.22,90,100,10.38
119,Nemuro,JP,2022-12-11 22:27:54,43.3236,145.575,30.04,59,74,14.72
120,Asau,RO,2022-12-11 22:27:54,46.4333,26.4,34.72,95,100,3.51
121,Tezu,IN,2022-12-11 22:27:55,27.9167,96.1667,58.64,42,0,3.91
122,Mwinilunga,ZM,2022-12-11 22:27:55,-11.7358,24.4293,62.74,93,100,1.66
123,Yenagoa,NG,2022-12-11 22:27:55,4.9247,6.2642,78.98,84,100,5.73
124,Coahuayana,MX,2022-12-11 22:27:56,18.7333,-103.6833,83.73,55,1,5.41
125,Marystown,CA,2022-12-11 22:27:56,47.1666,-55.1483,27.16,65,79,9.55
126,Geraldton,AU,2022-12-11 22:27:56,-28.7667,114.6,70.21,28,0,14.97
127,Narbonne,FR,2022-12-11 22:27:57,43.0833,2.8333,37.02,60,47,4.7
128,Balkhash,KZ,2022-12-11 22:27:57,46.844,74.9804,0.99,80,1,5.37
129,Maumere,ID,2022-12-11 22:27:57,-8.6199,122.2111,80.91,75,95,0.47
130,Pevek,RU,2022-12-11 22:27:58,69.7008,170.3133,-11.78,98,100,18.54
131,Kruisfontein,ZA,2022-12-11 22:27:58,-34.0033,24.7314,70.88,98,99,6.91
132,Zelenoborskiy,RU,2022-12-11 22:27:59,66.845,32.3622,0.07,97,34,3.87
133,Kongwa,TZ,2022-12-11 22:27:59,-6.2,36.4167,67.84,78,7,3.36
134,Tasiilaq,GL,2022-12-11 22:27:59,65.6145,-37.6368,28.56,53,2,4.32
135,Avarua,CK,2022-12-11 22:28:00,-21.2078,-159.775,78.85,65,75,9.22
136,Pasni,PK,2022-12-11 22:28:00,25.2631,63.471,72.73,55,29,7.05
137,East London,ZA,2022-12-11 22:28:00,-33.0153,27.9116,71.67,89,100,21.03
