City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
252,Alofi,NU,-19.0595,-169.9187,82.29,65,77,16.11,broken clouds
253,Pozo Colorado,PY,-23.4923,-58.7972,80.24,71,100,2.98,overcast clouds
254,Acapulco,MX,16.8634,-99.8901,76.96,80,97,6.49,overcast clouds
255,Orbetello,IT,42.4408,11.2196,42.82,69,100,7.54,light rain
256,Pochutla,MX,15.7432,-96.4661,77.83,79,32,3.69,scattered clouds
257,Peace River,CA,56.2501,-117.286,-0.09,84,75,2.3,broken clouds
258,Baiyin,CN,36.5583,104.2081,18.68,30,95,2.68,overcast clouds
259,Noumea,NC,-22.2763,166.4572,87.78,66,2,10.58,clear sky
260,Honiara,SB,-9.4333,159.95,84.7,73,76,4.07,broken clouds
261,Bonthe,SL,7.5264,-12.505,78.85,82,0,5.39,clear sky
262,Canutama,BR,-6.5339,-64.3831,78.84,80,100,1.61,overcast clouds
263,Chlorakas,CY,34.8042,32.4083,59.88,77,0,5.75,clear sky
264,Aketi,CD,2.7388,23.7833,73.54,83,100,2.66,overcast clouds
265,Ostrovnoy,RU,68.0531,39.5131,9.75,94,100,7.65,overcast clouds
266,Puerto Leguizamo,CO,-0.1934,-74.7819,79.27,72,100,2.89,overcast clouds
267,Narsaq,GL,60.9167,-46.05,14.22,61,0,8.39,clear sky
268,Moree,AU,-29.4667,149.85,76.87,19,0,9.35,clear sky
269,Tomatlan,MX,19.9333,-105.25,71.82,71,4,1.25,clear sky
270,Paamiut,GL,61.994,-49.6678,18.19,61,8,8.88,clear sky
271,Mayumba,GA,-3.432,10.6554,74.39,90,100,4.92,light rain
272,Touros,BR,-5.1989,-35.4608,78.35,76,88,11.23,overcast clouds
273,Tabuk,PH,17.4189,121.4443,73.13,94,100,3.33,overcast clouds
274,Mokhsogollokh,RU,61.4681,128.9203,-34.53,95,100,3.78,overcast clouds
275,Ampanihy,MG,-24.7,44.75,71.8,81,63,6.33,broken clouds
